Column1,Degree Centrality,Closeness Centrality,Betweeness Centrality,Pagerank Centrality
meningeal neoplasm,0.097449641,0.498627128,0,4.43E-05
abnormality of temperature regulation,0.097062149,0.498695592,0,3.90E-05
Methicillin-Resistant Staphylococcus Aureus Infection,0.09680421,0.498490255,0,5.32E-05
cardiac hypertrophy,0.0967931,0.498558682,0,4.41E-05
systemic juvenile idiopathic arthritis,0.096433327,0.498695592,0,4.17E-05
adrenal gland neoplasm,0.096173255,0.498627128,0,4.78E-05
dysplasia,0.095987383,0.498764076,0,4.79E-05
Meningioma,0.095888744,0.498627128,0,3.54E-05
juvenile dermatomyositis,0.095279466,0.498695592,0,4.26E-05
thyroid gland adenocarcinoma,0.095206991,0.498695592,0,0.000145809
Malignant Mesothelioma,0.095163942,0.498558682,0,3.72E-05
muscle cancer,0.09498203,0.498558682,0,4.31E-05
PR interval,0.094952337,0.498490255,0,3.37E-05
placenta disease,0.094235324,0.498558682,0,5.22E-05
childhood onset asthma,0.093367278,0.498627128,0,3.89E-05
myocarditis,0.092943139,0.498627128,0,3.80E-05
sum of eosinophil and basophil counts,0.092671361,0.498627128,0,4.41E-05
osteomyelitis,0.092511263,0.498490255,0,4.38E-05
chronic myelogenous leukemia,0.091957737,0.498764076,0,4.15E-05
monoclonal gammopathy,0.090927419,0.498627128,0,4.09E-05
Abnormality of cardiovascular system electrophysiology,0.090316975,0.498764076,0,4.22E-05
benign neoplasm of skin,0.089482714,0.498695592,0,5.02E-05
dermis tumor,0.089443356,0.498558682,0,3.93E-05
Decreased body weight,0.089413337,0.498627128,0,3.71E-05
mesenchymal tumor of small intestine,0.089396291,0.498558682,0,3.97E-05
skin vascular disease,0.089333417,0.498627128,0,0.000246091
integumentary system benign neoplasm,0.089196373,0.498695592,0,4.86E-05
coagulation factor measurement,0.089176456,0.498764076,0,4.49E-05
acidosis,0.089119319,0.498627128,0,4.17E-05
vasculitis,0.088551947,0.498627128,0,4.37E-05
weight loss,0.08836221,0.498627128,0,5.52E-05
Gastrointestinal stromal tumor,0.088351064,0.498558682,0,3.37E-05
fatigue,0.087242355,0.498627128,0,3.45E-05
non-functioning pituitary adenoma,0.087063629,0.498490255,0,4.23E-05
non-functioning pituitary gland neoplasm,0.086429405,0.498490255,0,3.87E-05
granulocyte percentage of myeloid white cells,0.08623753,0.498764076,0,4.18E-05
eye neoplasm,0.086101172,0.498764076,0,3.92E-05
insomnia measurement,0.086020884,0.498627128,0,4.62E-05
toxic encephalopathy,0.08581752,0.498627128,0,3.17E-05
non-functioning endocrine neoplasm,0.085780132,0.498490255,0,3.50E-05
ENSG00000267393,0.08514,0.333104049,0,2.87E-05
wellbeing measurement,0.084722958,0.498695592,0,3.21E-05
myelodysplastic syndrome,0.084574723,0.498695592,0,3.87E-05
hair shape measurement,0.084170762,0.498627128,0,4.08E-05
Parkinsonism,0.083849873,0.498558682,0,3.35E-05
tumour of cranial and spinal nerves,0.083332727,0.498627128,0,3.86E-05
Cushing syndrome,0.083135324,0.498764076,0,4.93E-05
matrix metalloproteinase measurement,0.083134338,0.498490255,0,3.12E-05
Inhalant adrenergic use measurement,0.082726766,0.498490255,0,3.45E-05
Skin Sarcoma,0.082446688,0.498558682,0,4.12E-05
hair morphology,0.081547603,0.498695592,0,4.88E-05
hair color,0.081547603,0.498695592,0,4.88E-05
sympathetic nervous system disease,0.081128609,0.498558682,0,4.95E-05
Dermatofibrosarcoma protuberans,0.081073069,0.498558682,0,3.34E-05
fever,0.080988799,0.498627128,0,3.33E-05
malignant dermis tumor,0.080584907,0.498558682,0,3.06E-05
"Genetic 46,XY disorder of sex development",0.080423302,0.498627128,0,3.65E-05
Paraganglioma,0.08039513,0.498558682,0,3.67E-05
autonomic nervous system neoplasm,0.080176322,0.498558682,0,3.54E-05
smooth muscle cancer,0.080101189,0.498490255,0,3.90E-05
leiomyosarcoma,0.080092338,0.498490255,0,3.90E-05
brain measurement,0.0797614,0.498764076,0,4.99E-05
adrenal gland pheochromocytoma,0.079759759,0.498558682,0,4.17E-05
sympathetic paraganglioma,0.079507899,0.498558682,0,4.02E-05
adrenal medulla neoplasm,0.079375696,0.498558682,0,3.95E-05
Epstein-Barr virus-associated mesenchymal tumor,0.07931413,0.498490255,0,3.41E-05
abnormality of the musculature,0.078895466,0.498627128,0,3.47E-05
vitamin D measurement,0.078872606,0.498490255,0,4.69E-05
blood metabolite measurement,0.078668179,0.498764076,0,4.67E-05
oligodendroglioma,0.078427235,0.498627128,0,3.86E-05
epidermal appendage tumor,0.078180132,0.498558682,0,3.42E-05
urothelial neoplasm,0.077996269,0.498627128,0,4.76E-05
cystic neoplasm,0.077196269,0.498695592,0,4.82E-05
transitional cell neoplasm,0.076672003,0.498627128,0,4.01E-05
differentiated thyroid carcinoma,0.076663629,0.498695592,0,4.01E-05
follicular thyroid carcinoma,0.076627419,0.498695592,0,3.99E-05
vitamin measurement,0.076562062,0.498490255,0,3.37E-05
cholestasis,0.076167319,0.498558682,0,4.96E-05
Transitional Cell Carcinoma,0.076029405,0.498627128,0,3.64E-05
"Genetic 46,XY disorder of sex development of endocrine origin",0.075389877,0.498627128,0,3.58E-05
in situ carcinoma,0.074749514,0.498627128,0,3.25E-05
cerebral arterial disease,0.074609511,0.498695592,0,4.13E-05
facial morphology measurement,0.074036652,0.498627128,0,4.24E-05
tyrosine hydroxylase deficiency,0.074029213,0.498490255,0,0.00014319
Epicanthal fold,0.073303155,0.498627128,0,6.97E-05
intracranial arterial disease,0.072960251,0.498695592,0,3.19E-05
Syndromic epicanthus,0.072541974,0.498627128,0,6.54E-05
Rare conjunctival disease,0.072475155,0.498695592,0,6.68E-05
sleep duration,0.072315238,0.498627128,0,3.01E-05
low grade glioma,0.072272003,0.498627128,0,3.92E-05
chronic hepatitis C virus infection,0.072134505,0.498558682,0,3.70E-05
nutritional deficiency disease,0.071763629,0.498695592,0,4.05E-05
melanocytic nevus,0.071610851,0.498627128,0,4.07E-05
cytokine measurement,0.071549357,0.498558682,0,5.16E-05
Helminthiasis,0.071420559,0.498558682,0,3.83E-05
nevus,0.071181727,0.498627128,0,3.82E-05
tetralogy of fallot,0.070743356,0.498490255,0,3.70E-05
breast ductal carcinoma in situ,0.070589032,0.498695592,0,3.73E-05
insulin resistance,0.070441502,0.498558682,0,4.78E-05
Canthal anomaly,0.069914929,0.498627128,0,5.04E-05
Conjunctival vascular anomaly,0.069086929,0.498695592,0,4.75E-05
conjunctival vascular disease,0.068868269,0.498695592,0,4.63E-05
brain aneurysm,0.067973603,0.498627128,0,4.16E-05
endometrial stromal tumor,0.067972278,0.498490255,0,4.25E-05
rare male fertility disorder with obstructive azoospermia,0.06776291,0.498558682,0,4.74E-05
Abnormality of mitochondrial metabolism,0.067680663,0.498695592,0,4.61E-05
myxedema,0.067350343,0.498695592,0,3.67E-05
Infantile neuroaxonal dystrophy,0.067236693,0.498627128,0,3.25E-05
nasal cavity disease,0.066460625,0.498627128,0,3.03E-05
alcohol withdrawal,0.066321297,0.498558682,0,4.99E-05
disease with Cushing syndrome as a major feature,0.066297911,0.498695592,0,3.30E-05
alcoholic liver disease,0.066197479,0.498558682,0,3.28E-05
Conjunctival Disorder,0.066110035,0.498695592,0,3.05E-05
alcohol-induced disorders,0.065949047,0.498558682,0,3.14E-05
Stromal corneal dystrophy,0.065878588,0.498558682,0,6.75E-05
blood vessel neoplasm,0.065877374,0.498627128,0,4.08E-05
steroid metabolism disease,0.065702718,0.498627128,0,3.80E-05
age-related cataract,0.065636151,0.498490255,0,3.64E-05
intracerebral hemorrhage,0.065547171,0.498558682,0,4.13E-05
insulin measurement,0.065508962,0.498490255,0,3.62E-05
abnormality of the lymphatic system,0.065503337,0.498558682,0,3.77E-05
acute leukemia of ambiguous lineage,0.065406991,0.498490255,0,0.000142657
male infertility due to obstructive azoospermia,0.065146772,0.498558682,0,3.25E-05
mean arterial pressure,0.064799668,0.498627128,0,4.77E-05
breast carcinoma in situ,0.06470421,0.498627128,0,5.11E-05
ulcer disease,0.064639793,0.498695592,0,3.88E-05
intracranial hemorrhage,0.064634505,0.498558682,0,3.61E-05
diabetes mellitus biomarker,0.064512491,0.498490255,0,3.05E-05
cerebrospinal fluid biomarker measurement,0.064421912,0.498627128,0,4.10E-05
glucose measurement,0.064275175,0.498490255,0,2.92E-05
Disorder of tyrosine metabolism,0.063773069,0.498558682,0,3.16E-05
vascular neoplasm,0.063684907,0.498627128,0,2.83E-05
intraductal breast neoplasm,0.063609929,0.498627128,0,4.49E-05
Myocardial Ischemia,0.063411138,0.498490255,0,5.18E-05
cholangitis,0.063332552,0.498695592,0,3.65E-05
fatty acid measurement,0.063029051,0.498490255,0,4.12E-05
Qualitative or quantitative protein defects in neuromuscular diseases,0.062926448,0.498627128,0,3.86E-05
nerve sheath neoplasm,0.062880663,0.498558682,0,4.43E-05
dendritic cell tumor,0.062806991,0.498558682,0,0.000141951
Crouzon syndrome - acanthosis nigricans,0.062803155,0.498490255,0,6.58E-05
substance withdrawal syndrome,0.062800719,0.498558682,0,2.99E-05
other epidermal disorder,0.062542303,0.498627128,0,3.35E-05
tumor of cranial and spinal nerves,0.062277374,0.498558682,0,4.08E-05
adenocarcinoma in situ,0.062275559,0.498627128,0,3.73E-05
Peripheral demyelination,0.062109929,0.498558682,0,4.45E-05
graft versus host disease,0.061781244,0.498558682,0,3.15E-05
ischemic disease,0.061733399,0.498558682,0,3.22E-05
breast intraductal proliferative lesion,0.061397911,0.498627128,0,3.23E-05
medullary thyroid gland carcinoma,0.060860625,0.498627128,0,3.02E-05
nose morphology measurement,0.060592122,0.498558682,0,4.27E-05
sex cord-stromal tumor,0.060454049,0.498558682,0,4.60E-05
polyendocrinopathy,0.060396269,0.498695592,0,4.59E-05
Corneal dystrophy,0.060349869,0.498558682,0,3.23E-05
atypical teratoid rhabdoid tumor,0.060082227,0.498490255,0,3.53E-05
Disorder of serine or glycine metabolism,0.059734949,0.498695592,0,3.97E-05
indeterminate sex and/or pseudohermaphroditism,0.059693797,0.498490255,0,3.41E-05
cholesterol metabolism disease,0.059596269,0.498627128,0,4.71E-05
pseudohermaphroditism,0.0595517,0.498490255,0,3.33E-05
Dopa-responsive dystonia,0.05937486,0.498490255,0,3.09E-05
Sterol metabolism disorder,0.059259138,0.498627128,0,3.23E-05
Corneal opacity,0.059242083,0.498490255,0,3.70E-05
rosacea,0.059197429,0.498627128,0,3.05E-05
sebaceous gland neoplasm,0.059196772,0.498490255,0,3.52E-05
peripheral nervous system cancer,0.059110892,0.498627128,0,3.83E-05
acute coronary syndrome,0.058860101,0.498490255,0,4.63E-05
contracture,0.058760631,0.498490255,0,2.75E-05
intraepithelial neoplasia,0.058576718,0.498558682,0,3.46E-05
chronic interstitial cystitis,0.058460189,0.498695592,0.00027533,3.46E-05
Multiple polyglandular tumor,0.058042303,0.498695592,0,3.25E-05
stage 5 chronic kidney disease,0.057826119,0.498558682,0,2.84E-05
anaerobic bacteria infectious disease,0.057629213,0.498558682,0,0.000141615
Genetic polyendocrinopathy,0.057389602,0.498695592,0,2.87E-05
Conjunctival lymphangiectasia,0.057313974,0.498627128,0,6.08E-05
Adrenogenital syndrome,0.057216973,0.498490255,0,0.000243189
benign eyelid neoplasm,0.057206991,0.498558682,0,0.000141778
Abnormal emotion/affect behavior,0.057159864,0.498627128,0,3.69E-05
mucous membrane pemphigoid,0.05690421,0.498627128,0,4.98E-05
vesiculobullous skin disease,0.056665006,0.498695592,0,3.43E-05
Thyroid preparation use measurement,0.056550694,0.498695592,0,3.34E-05
ovarian dysfunction,0.056327727,0.498558682,0,4.25E-05
heart valve disease,0.056288714,0.498558682,0,3.88E-05
Schnyder corneal dystrophy,0.056186418,0.498558682,0,6.19E-05
Hepatic steatosis,0.056029405,0.498558682,0,3.53E-05
endometrial hyperplasia,0.055906991,0.498490255,0,0.000143128
acute myocardial infarction,0.055547171,0.498558682,0,4.11E-05
synovial sarcoma,0.055434505,0.498490255,0,3.58E-05
nongerminomatous germ cell tumor,0.055340325,0.498490255,0,0.000141519
hypoalbuminemia,0.05530421,0.498558682,0,4.99E-05
End Stage Liver Disease,0.055280663,0.498627128,0,4.34E-05
primary ovarian insufficiency,0.055265741,0.498558682,0,4.99E-05
adrenal cortex disease,0.054980132,0.498558682,0,3.27E-05
autoimmune bullous skin disease,0.054763629,0.498627128,0,3.76E-05
acute kidney failure,0.05428344,0.498490255,0,4.35E-05
fibrinogen measurement,0.053410532,0.498627128,0,2.76E-05
abortion,0.053334548,0.498627128,0,3.96E-05
Non-acquired premature ovarian failure,0.053303155,0.498558682,0,6.66E-05
Hyperalphalipoproteinemia,0.053231843,0.498490255,0,2.89E-05
Mycobacterium infection,0.05302069,0.498490255,0,4.36E-05
allergic respiratory disease,0.052918769,0.498558682,0,2.92E-05
Benign familial neonatal seizures,0.052861417,0.498490255,0,0.000241375
CHILD syndrome,0.052861417,0.498490255,0,0.000241865
primary organ-specific lymphoma,0.052860625,0.498627128,0,2.95E-05
simple vascular malformation,0.052847559,0.498627128,0,3.54E-05
Primary lymphedema,0.052717442,0.498627128,0,3.46E-05
schwannoma,0.052521297,0.498558682,0,4.76E-05
cleft lip,0.052379354,0.498490255,0,4.07E-05
endometrial stromal sarcoma,0.052235782,0.498490255,0,4.97E-05
human herpesvirus 8 infection,0.052200719,0.498558682,0,2.86E-05
Sterol biosynthesis disorder,0.052121442,0.498627128,0,3.63E-05
nervous system benign neoplasm,0.052116719,0.498627128,0,3.26E-05
rare lymphatic system malformation,0.051969911,0.498627128,0,3.03E-05
benign neoplasm of eye,0.051780132,0.498627128,0,3.06E-05
Hyperglycemia,0.051775559,0.498627128,0,3.60E-05
Hypertriglyceridemia,0.051723889,0.498490255,0,4.86E-05
sensory organ benign neoplasm,0.051718769,0.498627128,0,3.03E-05
Agents acting on the renin-angiotensin system use measurement,0.051651327,0.498695592,0,4.51E-05
poisoning,0.051646688,0.498627128,0,3.90E-05
leprosy,0.051601145,0.498490255,0,3.55E-05
Syndromic lymphedema,0.051480944,0.498627128,0,2.76E-05
Lymphedema,0.051412607,0.498627128,0,2.72E-05
Milroy disease,0.051412607,0.498627128,0,2.72E-05
PEComa,0.051354405,0.498558682,0,3.46E-05
lymphadenitis (disease),0.051343521,0.498558682,0,4.26E-05
predominantly medium-vessel vasculitis,0.051343521,0.498558682,0,4.26E-05
gallbladder carcinoma,0.051309929,0.498490255,0,4.30E-05
cutaneous lupus erythematosus,0.05128433,0.498627128,0,4.71E-05
Genetic skin vascular disorder,0.051138522,0.498627128,0,2.83E-05
cholesterol biosynthetic process disease,0.051077374,0.498627128,0,4.08E-05
autoimmune thyroid disease,0.051038546,0.498490255,0,4.35E-05
Encephalopathy,0.051009929,0.498558682,0,4.24E-05
mucocutaneous lymph node syndrome,0.050974121,0.498558682,0,4.04E-05
gallbladder neoplasm,0.050911263,0.498490255,0,4.07E-05
pleural disease,0.050743356,0.498558682,0,3.52E-05
Sea-blue histiocytosis,0.050406991,0.498490255,0,0.000141206
infectious disease with peripheral neuropathy,0.050251547,0.498490255,0,2.78E-05
benign peripheral nerve sheath tumor,0.050243356,0.498558682,0,3.46E-05
anaplastic large cell lymphoma,0.050227419,0.498627128,0,3.67E-05
Autosomal recessive dopa-responsive dystonia,0.050176718,0.498490255,0,3.41E-05
sweat gland disease,0.050029405,0.498627128,0,3.41E-05
Frontotemporal dementia,0.049931517,0.498627128,0,3.33E-05
oral mucositis,0.049709929,0.498627128,0,4.25E-05
sclerosing cholangitis,0.049610492,0.498627128,0,4.78E-05
rhinitis,0.049547171,0.498558682,0,3.89E-05
Dysostosis with limb and face anomalies as a major feature,0.049334949,0.498627128,0,3.98E-05
Rare genetic vascular disease,0.049261417,0.498490255,0,0.000241182
Congenital alveolar capillary dysplasia,0.049206991,0.498558682,0,0.000141506
febrile seizures,0.049202366,0.498490255,0,3.22E-05
thyroiditis (disease),0.049099994,0.498490255,0,3.25E-05
fetal growth restriction,0.049034505,0.498490255,0,3.50E-05
Autosomal ichthyosis syndrome with fatal disease course,0.049014929,0.498627128,0,4.57E-05
gallbladder cancer,0.048980132,0.498490255,0,2.97E-05
rare inflammatory eye disease,0.048944084,0.498627128,0,3.91E-05
mastitis,0.048916719,0.498558682,0,3.21E-05
diabetic retinopathy,0.048910545,0.498627128,0,4.70E-05
growth delay,0.048809929,0.498558682,0,4.36E-05
sebaceous adenocarcinoma,0.048796772,0.498490255,0,3.38E-05
interstitial lung disease in childhood and adulthood,0.048796269,0.498490255,0,4.37E-05
inflammatory and autoimmune disease with epilepsy,0.048796269,0.498490255,0,4.37E-05
Cystic fibrosis,0.048795232,0.498695592,0,3.51E-05
risky sexual behaviour measurement,0.048777565,0.498558682,0,4.74E-05
uveitis,0.048613398,0.498627128,0,3.72E-05
skin appendage carcinoma,0.048516719,0.498490255,0,3.22E-05
benign connective and soft tissue neoplasm,0.048437088,0.498558682,0,3.50E-05
chronic hepatitis B virus infection,0.048422941,0.498490255,0,2.68E-05
spindle cell tumor,0.048421616,0.498490255,0,3.49E-05
serous cystadenocarcinoma,0.048406991,0.498490255,0,0.000140187
"46,XY disorder of sex development due to cholesterol synthesis defect",0.048386818,0.498627128,0,3.44E-05
retinal vascular disease,0.048385517,0.498627128,0,4.41E-05
Hypobetalipoproteinemia,0.04833383,0.498490255,0,3.08E-05
Hyperthyroidism,0.048332028,0.498558682,0,3.36E-05
arthrogryposis,0.048111263,0.498490255,0,4.01E-05
sebaceous gland cancer,0.047789602,0.498490255,0,2.80E-05
"46,XY disorder of sex development due to impaired androgen production",0.047773069,0.498627128,0,3.09E-05
Neurometabolic disorder due to serine deficiency,0.047734949,0.498627128,0,3.84E-05
Smith-Lemli-Opitz syndrome,0.047598129,0.498627128,0,2.99E-05
Other genetic epidermal disease,0.047458138,0.498558682,0,3.02E-05
pain agnosia,0.047432028,0.498490255,0,3.22E-05
"46,XY disorder of sex development due to testosterone synthesis defect",0.047408944,0.498627128,0,2.88E-05
behavioural disinhibition measurement,0.04740344,0.498558682,0,3.96E-05
bilineal acute myeloid leukemia,0.047277374,0.498490255,0,3.93E-05
Marfan and Marfan-related disorder,0.047218818,0.498490255,0,3.26E-05
corneal endothelial cell measurement,0.047058044,0.498490255,0,3.57E-05
secondary interstitial lung disease in childhood and adulthood,0.047043356,0.498490255,0,3.37E-05
Congenital contractural arachnodactyly,0.046976718,0.498490255,0,3.37E-05
Alpha granule disease,0.046863577,0.498490255,0,5.91E-05
Neu-Laxova syndrome,0.04673833,0.498627128,0,3.27E-05
thrombotic disease,0.046380663,0.498558682,0,4.29E-05
American trypanosomiasis,0.046352518,0.498490255,0,3.72E-05
Inherited acute myeloid leukemia,0.046186818,0.498490255,0,3.31E-05
Abnormality of muscle physiology,0.046181988,0.498558682,0,4.95E-05
secondary interstitial lung disease in childhood and adulthood associated with a systemic vasculitis,0.046180132,0.498490255,0,2.87E-05
predominantly small-vessel vasculitis,0.046180132,0.498490255,0,2.87E-05
secondary interstitial lung disease in childhood and adulthood associated with a systemic disease,0.046180132,0.498490255,0,2.87E-05
3-phosphoglycerate dehydrogenase deficiency,0.046180132,0.498627128,0,2.95E-05
Lissencephaly,0.046158138,0.498627128,0,2.94E-05
systemic inflammatory disease associated with an acquired peripheral neuropathy,0.046060625,0.498490255,0,2.81E-05
Limb-mammary syndrome,0.045883447,0.498490255,0,0.00010308
central nervous system vasculitis,0.045789602,0.498490255,0,2.65E-05
Distal arthrogryposis,0.045740607,0.498490255,0,2.66E-05
Anti-neutrophil cytoplasmic antibody-associated vasculitis,0.045684907,0.498490255,0,2.59E-05
Granulomatosis with Polyangiitis,0.045661631,0.498490255,0,2.58E-05
diabetic eye disease,0.045627282,0.498627128,0,2.83E-05
prostate specific antigen measurement,0.045485666,0.498490255,0,4.62E-05
Autosomal dominant distal myopathy,0.045266107,0.498558682,0,3.26E-05
response to vaccine,0.045053914,0.498490255,0,2.68E-05
Gaucher disease,0.044973069,0.498558682,0,2.93E-05
ENSG00000230606,0.044843281,0.33334863,0,2.74E-05
Sitosterolemia,0.044786818,0.498558682,0,3.33E-05
Tibial muscular dystrophy,0.04473947,0.498558682,0,2.96E-05
Distal myopathy,0.044685916,0.498558682,0,2.93E-05
Megalencephalic leukoencephalopathy with subcortical cysts,0.044486818,0.498490255,0,3.30E-05
hepatic failure,0.044429405,0.498558682,0,3.33E-05
Hydatidiform Mole,0.044416719,0.498490255,0,3.34E-05
Histiocytic and Dendritic Cell Neoplasm,0.044346688,0.498558682,0,3.67E-05
coma,0.044264448,0.498558682,0,3.53E-05
cancer biomarker measurement,0.044111541,0.498490255,0,3.83E-05
myopia (disease),0.044080663,0.498558682,0,4.18E-05
Rigidity,0.044080663,0.498558682,0,4.21E-05
unclassified acute myeloid leukemia,0.043996269,0.498490255,0,4.40E-05
Genetic dermis elastic tissue disorder,0.043642303,0.498627128,0,3.14E-05
Palpebral lentiginosis,0.043603155,0.498558682,0,6.42E-05
large cell medulloblastoma,0.043461631,0.498490255,0,3.18E-05
reduced consciousness/confusion,0.0433868,0.498558682,0,3.03E-05
"X-linked intellectual disability, Snyder type",0.043261417,0.498490255,0,0.000240509
neointimal hyperplasia,0.043163629,0.498490255,0,3.60E-05
"46,XY disorder of sex development of gynecological interest",0.042901593,0.498490255,0,3.46E-05
Mesenchymatous palpebral tumor,0.042841974,0.498558682,0,5.99E-05
Rare hereditary systemic disease with peripheral neuropathy,0.04278373,0.498490255,0,3.30E-05
hemangioma,0.042746688,0.498490255,0,3.64E-05
myeloid sarcoma,0.042746688,0.498490255,0,3.69E-05
Gonosome number anomaly,0.042717477,0.498490255,0,6.56E-05
lower urinary tract symptom,0.042426545,0.498490255,0,2.75E-05
histiocytoma,0.042299075,0.498490255,0,4.68E-05
Gray platelet syndrome,0.042267046,0.498490255,0,3.28E-05
irritability,0.042252456,0.498558682,0,3.41E-05
Tangier disease,0.042218469,0.498490255,0,2.97E-05
benign blood vessel neoplasm,0.042176718,0.498490255,0,3.31E-05
primary progressive multiple sclerosis,0.041935324,0.498490255,0,4.26E-05
Androgen insensitivity syndrome,0.041855383,0.498490255,0,2.86E-05
Bradycardia,0.041709929,0.498558682,0,4.22E-05
Ataxia-telangiectasia,0.041525049,0.498558682,0,2.98E-05
cardiovascular organ benign neoplasm,0.041497911,0.498490255,0,2.93E-05
Malformation syndrome with connective tissue involvement,0.041477374,0.498627128,0,3.92E-05
Inherited giant platelet disorder,0.041435352,0.498490255,0,2.81E-05
capillary hemangioma,0.041380132,0.498490255,0,2.86E-05
brucellosis,0.04108379,0.498490255,0,2.71E-05
isolated constitutional thrombocytopenia,0.041011206,0.498490255,0,2.57E-05
hyperpituitarism,0.040909929,0.498490255,0,4.38E-05
hyperprolactinemia,0.040854049,0.498490255,0,4.35E-05
carcinoid tumor,0.040791061,0.498490255,0,3.34E-05
childhood cancer,0.040747171,0.498558682,0,3.84E-05
panniculitis,0.040746688,0.498558682,0,3.75E-05
global developmental delay,0.040729405,0.498558682,0,3.20E-05
tetanus,0.040357546,0.498558682,0,4.31E-05
serum non-albumin protein measurement,0.040332919,0.498695592,1.52E-07,4.65E-05
Palpebral tumor,0.040214929,0.498558682,0,4.49E-05
hepatitis,0.040149655,0.498490255,0,4.85E-05
Mast Cell Neoplasm,0.040120716,0.498490255,0,4.12E-05
benign fibrous histiocytoma,0.039709929,0.498490255,0,4.20E-05
Motor delay,0.03960421,0.498490255,0,4.70E-05
Retinoblastoma,0.039603155,0.498558682,0,6.31E-05
Apolipoprotein A-I deficiency,0.039597082,0.498490255,0,2.96E-05
rhabdomyosarcoma,0.03925463,0.498558682,0,4.62E-05
hypothermia,0.039162739,0.498558682,0,3.22E-05
neutrophil percentage of granulocytes,0.039148696,0.498490255,0,3.69E-05
Mastocytosis,0.039130295,0.498490255,0,3.56E-05
skin pigmentation,0.039066247,0.498558682,0,4.28E-05
bipolar I disorder,0.039063629,0.498490255,0,3.56E-05
birth weight,0.039057964,0.498627128,0,2.53E-05
EEC syndrome and related syndrome,0.038957983,0.498490255,0,6.36E-05
childhood leukemia,0.038860625,0.498558682,0,2.76E-05
childhood neoplasm,0.038860625,0.498558682,0,2.76E-05
Langerhans Cell Histiocytosis,0.038838035,0.498490255,0,2.76E-05
hemolytic anemia,0.038790812,0.498558682,0,2.80E-05
psoriasis vulgaris,0.038775559,0.498558682,0,3.41E-05
hip bone mineral density,0.038644242,0.498627128,0,4.13E-05
Hepatoblastoma,0.038547171,0.498558682,0,3.89E-05
"Mitochondrial DNA depletion syndrome, encephalomyopathic form",0.038461417,0.498421847,0,0.000239956
4-hydroxybutyric aciduria,0.038461417,0.498421847,0,0.000239956
Alagille syndrome due to a NOTCH2 point mutation,0.038461417,0.498421847,0,0.000239956
"Ehlers-Danlos syndrome, cardiac valvular type",0.038461417,0.498421847,0,0.000239956
MYH9-related disease,0.038461417,0.498421847,0,0.000239956
Reticulate acropigmentation of Kitamura,0.038461417,0.498421847,0,0.000239956
Ectodermal dysplasia - cutaneous syndactyly syndrome,0.038461417,0.498421847,0,0.000239956
Posterior fusion of lumbosacral vertebrae - blepharoptosis,0.038461417,0.498421847,0,0.000239956
Pontocerebellar hypoplasia type 6,0.038461417,0.498421847,0,0.000239956
"Metaphyseal chondrodysplasia, Spahr type",0.038461417,0.498421847,0,0.000239956
Congenital myopathy with cores,0.038461417,0.498421847,0,0.000239956
Progressive osseous heteroplasia,0.038461417,0.498421847,0,0.000239956
radiation or chemically induced disorder,0.038461417,0.498421847,0,0.000239956
Orofaciodigital syndrome type 11,0.038461417,0.498421847,0,0.000239956
Alpha-thalassemia - myelodysplastic syndrome,0.038461417,0.498421847,0,0.000239956
Congenital muscular dystrophy due to LMNA mutation,0.038461417,0.498421847,0,0.000239956
Bilateral parasagittal parieto-occipital polymicrogyria,0.038461417,0.498421847,0,0.000239956
Pityriasis rubra pilaris,0.038461417,0.498421847,0,0.000239956
"Qualitative or quantitative defects of protein O-mannose beta1,2N-acetylglucosaminyltransferase",0.038461417,0.498421847,0,0.000239956
"Carnitine palmitoyl transferase II deficiency, myopathic form",0.038461417,0.498421847,0,0.000239956
Alopecia-intellectual disability syndrome,0.038461417,0.498421847,0,0.000239956
Nasopalpebral lipoma - coloboma - telecanthus,0.038461417,0.498421847,0,0.000239956
X-linked cerebellar ataxia,0.038461417,0.498421847,0,0.000239956
actinopathy,0.038461417,0.498421847,0,0.000239956
Rare genetic headache,0.038461417,0.498421847,0,0.000239956
Familial hypofibrinogenemia,0.038461417,0.498421847,0,0.000239956
Partial deletion of chromosome 16,0.038461417,0.498421847,0,0.000239956
autoimmune retinopathy,0.038461417,0.498421847,0,0.000239956
Legg-Calvé-Perthes disease,0.038461417,0.498421847,0,0.000239956
Congenital vitamin K-dependent coagulation factors deficiency,0.038461417,0.498421847,0,0.000239956
Mucocutaneous venous malformations,0.038461417,0.498421847,0,0.000239956
Adult-onset autosomal recessive sideroblastic anemia,0.038461417,0.498421847,0,0.000239956
Herpetic encephalitis,0.038461417,0.498421847,0,0.000239956
SERKAL syndrome,0.038461417,0.498421847,0,0.000239956
Congenital cataract - hypertrophic cardiomyopathy - mitochondrial myopathy,0.038461417,0.498421847,0,0.000239956
Chronic diarrhea due to guanylate cyclase 2C overactivity,0.038461417,0.498421847,0,0.000239956
Fibrous dysplasia of bone,0.038461417,0.498421847,0,0.000239956
"Acrofacial dysostosis, Rodríguez type",0.038461417,0.498421847,0,0.000239956
Mediterranean macrothrombocytopenia,0.038461417,0.498421847,0,0.000239956
"Microcephalic primordial dwarfism, Dauber type",0.038461417,0.498421847,0,0.000239956
Hennekam syndrome,0.038461417,0.498421847,0,0.000239956
ear infection,0.038461417,0.498421847,0,0.000239956
